hole_id,Sample_id,depth_from,depth_to,fe,sio2,al2o3,loi,p,,loi,,bin
B11,,10.05,11.57,59.4,6.6,4.36,3.6,0.06,,,,
B11,,11.57,13.7,59.7,8.1,3.33,2.7,0.06,,,,
B11,,13.7,15.22,61.2,5.94,3.54,2.5,0.06,,,,
B11,,15.22,17.19,55.2,7.9,6.45,6.25,0.06,,,,
B11,,17.19,18.09,43,34.8,1.45,1.7,0.06,,,,
B11,,18.09,22.03,39,39.2,2.53,2,0.06,,,,
B11,,22.03,24.15,52.3,21.5,1.71,1.5,0.06,,,,
B11,,24.15,25.37,48.5,26.26,2.69,1.3,0.06,,,,
B11,,25.37,25.97,41.2,36.46,3.12,1,0.05,,,,
B11,,25.97,28.08,42.4,37.26,1.05,0.7,0.04,,,,
B11,,28.08,30.49,42.3,35.6,2.44,1,0.05,,,,
B12,,0,1.8,61.7,1.86,5.4,4,0.04,,,,
B12,,1.8,3.35,59.9,2.5,6.75,4.5,0.05,,,,
B12,,3.35,6.1,55.4,5.72,8,6.5,0.04,,,,
B12,,6.1,8.5,61.8,3.86,4.26,3,0.04,,,,
B12,,8.5,10.65,63.2,3,3.13,3,0.06,,,,
B12,,10.65,12.8,65,2.5,1.52,2.5,0.05,,,,
B12,,12.8,15.25,66,2.3,1.42,1.4,0.05,,,,
B12,,15.25,17.35,65.6,2.2,1.8,1.7,0.05,,,,
B12,,17.35,19.5,64.4,2,2.24,3.15,0.06,,,,
B12,,19.5,21.65,63.2,3.1,2.98,2.65,0.06,,,,
B12,,21.65,24.4,65.4,1.1,1.18,3.8,0.05,,,,
B12,,24.4,26.5,65.4,2.12,1.06,3,0.06,,,,
B12,,26.5,28.95,65.2,2.52,1.08,2.76,1,,,,
B12,,28.95,30.5,64.3,2.2,1.47,3.85,0.06,,,,
B12,,30.5,32,65.1,1.7,0.96,3.35,0.06,,,,
B12,,32,34.16,66.9,1.2,0.75,2.05,0.06,,,,
B12,,34.16,35.67,66.2,1.8,0.66,2.5,0.05,,,,
B12,,35.67,37.52,60.9,10.2,1.19,2.7,0.06,,,,
B12,,37.52,39.05,65,2,1.05,2.8,0.05,,,,
B12,,39.05,40.55,66,2.2,0.72,2.4,0.05,,,,
B12,,40.55,42.7,66.4,2.54,0.86,1.25,0.05,,,,
B12,,42.7,44.8,65.6,2.88,1.21,1.65,0.07,,,,
B12,,44.8,46.95,64.8,3.16,1.53,2.25,0.09,,,,
B12,,46.95,48.8,67.2,1.38,0.6,1.6,0.05,,,,
B12,,48.8,51.2,66.38,2.06,0.75,1.2,0.05,,,,
B12,,51.2,53.05,49,28.04,0.46,1,0.03,,,,
B12,,53.05,54.9,38.7,42.2,1.01,1.05,0.02,,,,
B12,,54.9,57,38.2,43.26,0.71,1,0.03,,,,
B13,,0,2.44,56.7,4.2,5.77,8.4,0.05,,,,
B13,,2.44,4.28,64,0.9,0.8,6.4,0.06,,,,
B13,,4.28,6.1,64.2,0.72,1.52,5.55,0.06,,,,
B13,,6.1,8.23,64.6,0.86,2.11,4.15,0.07,,,,
B13,,8.23,10.37,52.8,2,11.2,10.6,0.08,,,,
B13,,10.37,12.2,55.8,1.6,8.1,9.9,0.05,,,,
B13,,12.2,14.62,64.1,0.72,1.27,5.95,0.08,,,,
B13,,14.62,16.43,66.1,1.2,0.5,3.5,0.07,,,,
B13,,16.43,18.27,66,1.8,0.72,2.8,0.06,,,,
B13,,18.27,19.49,65.8,2,0.75,2.81,0.05,,,,
B13,,19.49,21.62,66.3,1.42,0.52,2.95,0.03,,,,
B13,,21.62,23.13,65.4,1.24,0.87,3.97,0.05,,,,
B13,,23.13,24.66,61.2,1.8,2.07,8.21,0.09,,,,
B13,,24.66,26.8,61.4,1.96,2.12,7.72,0.09,,,,
B13,,26.8,29.24,65.8,1.3,0.92,3.34,0.05,,,,
B13,,29.24,31.07,63.9,1.14,1.27,5.81,0.1,,,,
B13,,31.07,32.29,64,1.86,2.07,4.15,0.07,,,,
B13,,32.29,34.43,66.7,1.64,0.48,2.3,0.04,,,,
B13,,34.43,36.26,61.6,4.22,3,4.2,0.09,,,,
B13,,36.26,38.09,65.4,1.72,1.06,3.4,0.05,,,,
B13,,38.09,40.23,66,1.22,1,3.2,0.04,,,,
B13,,40.23,42.66,67.2,1.48,0.43,1.6,0.04,,,,
B13,,42.66,45.11,58,7.24,5.56,3.9,0.04,,,,
B13,,45.11,47.24,60.4,6.56,3.1,3.47,0.04,,,,
B13,,47.24,48.77,63.6,3.4,2.4,2.85,0.04,,,,
B13,,48.77,49.99,64.3,3,1.75,2.9,0.04,,,,
B13,,49.99,52.42,65,0.8,0.45,5.6,0.04,,,,
B13,,52.42,54.85,65.6,1.4,0.49,4.1,0.04,,,,
B13,,54.85,55.77,65.3,1.58,0.64,4.1,0.04,,,,
B13,,55.77,57.6,65,1.24,0.61,4.9,0.04,,,,
B13,,57.6,60.03,63,3.8,0.81,5,0.04,,,,
B13,,60.03,62.48,59.1,12.36,1.03,1.75,0.03,,,,
B13,,62.48,63.49,49,23.8,1.55,4,0.05,,,,
B13,,63.49,64.92,63,6.6,0.56,2.3,0.04,,,,
B13,,64.92,66.04,63.2,5,1.32,2.9,0,,,,
B13,,66.04,67.66,61.5,5.9,2.57,3.16,0,,,,
B13,,67.66,70.1,59.4,7.58,3.1,4.07,0,,,,
B13,,70.1,70.71,62.7,4.12,1.77,4.05,0,,,,
B13,,70.71,71.01,57.2,10,0.76,7.15,0,,,,
B13,,71.01,72.53,63.8,3.6,1.02,3.75,0,,,,
B13,,72.53,74.05,60.5,4.8,4.6,8.53,0,,,,
B13,,74.05,75.88,66.3,1.8,0.67,2.3,0,,,,
B13,,75.88,78.02,63,4.8,1.79,2.8,0,,,,
B13,,78.02,80.47,65.6,3,0.99,1.9,0,,,,
B13,,80.47,83.2,66.2,3,0.64,1.4,0,,,,
B13,,83.2,87.78,45.3,32.8,0.88,1.03,0,,,,
B13,,87.78,88.39,48,27,3.35,0.5,0,,,,
B13,,88.39,91.31,39,41.6,0.91,1.2,0,,,,
B13,,91.31,92.32,43,35.4,1.21,1.1,0,,,,
B13,,92.32,93.85,45,33.4,0.85,1.2,0,,,,
B14,,0,3.05,58.3,1.8,7.83,6.4,0,,,,
B14,,3.05,6.1,64.9,0.94,1.24,4.6,0,,,,
B14,,6.1,10.65,61.59,2.23,3.18,5.94,0,,,,
B14,,10.65,12.5,65.5,1.4,0.73,3.8,0,,,,
B14,,12.5,14.3,63.62,2.39,2.06,4.43,0,,,,
B14,,14.3,16.45,64,1.6,1.84,4,0,,,,
B14,,16.45,17.05,64.7,0.08,1.47,4.27,0,,,,
B14,,17.05,19.2,59.6,3,3.8,7.4,0,,,,
B14,,19.2,20.5,57.5,3,5.22,8.95,0,,,,
B14,,20.5,23.15,64,2.18,1.4,4.6,0,,,,
B14,,23.15,24.1,64.3,0.8,1.55,5.4,0,,,,
B14,,24.1,26.3,63.1,2.3,2.96,4,0,,,,
B14,,26.3,28.05,64,1.84,2.36,3.8,0,,,,
B14,,28.05,28.95,64.2,1.4,1.95,4.4,0,,,,
B14,,28.95,31.7,63.6,1.45,2.98,4.1,0,,,,
B14,,31.7,35.05,63.1,1.88,3.44,3.92,0,,,,
B14,,35.05,37.75,65.7,0.8,2.21,2.64,0,,,,
B14,,37.75,41.1,67,0.6,0.79,2.5,0,,,,
B14,,41.1,45.4,67.1,0.4,0.65,2.7,0,,,,
B14,,45.4,46.65,66.6,0.76,0.85,2.85,0,,,,
B14,,46.65,48.8,65.8,0.86,0.5,4.35,0,,,,
B14,,48.8,50.3,65.5,0.6,1.21,4.1,0,,,,
B14,,50.3,52.35,64.38,2.13,1.36,4.06,0,,,,
B14,,52.35,55.47,64.8,1.6,1.89,3.45,0,,,,
B14,,55.47,57.95,63.82,2.21,1.41,4.76,0,,,,
B14,,57.95,58.55,64.6,1.58,1.92,3.72,0,,,,
B14,,58.55,60.35,63.7,1.9,1.68,4.93,0,,,,
B14,,60.35,63.1,64.27,1.33,0.94,5.41,0,,,,
B14,,63.1,64.95,63.95,1.68,1.88,4.7,0,,,,
B14,,64.95,66.45,61.5,2,4.55,5,0,,,,
B14,,66.45,68.6,63.44,1.97,1.14,5.82,0,,,,
B14,,68.6,71.35,63.5,2.5,1.38,4.92,0.08,,,,
B14,,71.35,74.45,62.7,3.32,0.9,5.77,0.08,,,,
B14,,74.45,75.95,62.2,4,0.6,6,0.07,,,,
B14,,75.95,77.75,61,7.36,2.16,2.75,0.06,,,,
B14,,77.75,82.65,62.98,2.92,0.99,5.71,0,,,,
B14,,82.65,85.4,61.9,4.04,1.5,5.5,0.07,,,,
B14,,85.4,89.95,59.56,5.03,1.88,6.97,0,,,,
B14,,89.95,90.9,64.1,2.32,1.68,3.99,0.07,,,,
B14,,90.9,93.05,65.4,1.72,1.96,2.3,0.07,,,,
B14,,93.05,93.95,65.5,1.72,1.58,2.6,0.07,,,,
B14,,93.95,96.95,64.2,3.4,0.96,3.48,0.07,,,,
B14,,96.95,99.1,65.7,1.8,1.01,2.8,0.07,,,,
B14,,99.1,99.7,62.1,4,2.8,3.9,0,,,,
B14,,99.7,100.3,55.4,13.6,3.98,2.7,0,,,,
B14,,100.3,102.75,60.8,9,0.98,2.6,0.06,,,,
B14,,102.75,104.9,57.9,12,0.42,4.2,0.06,,,,
B14,,104.9,105.8,48.8,26.6,0.7,2.72,0,,,,
B15,,0,1.52,60.3,1.2,2.48,9.6,0,,,,
B15,,1.52,2.13,54.6,6.8,6.88,7.7,0,,,,
B15,,2.13,3.35,64.4,0.82,1.34,5.35,0,,,,
B15,,3.35,4.57,60,3.3,4.07,6.32,0,,,,
B15,,4.57,5.79,63.8,1.02,1.05,6.4,0,,,,
B15,,5.79,7.01,58.6,3.6,4.3,7.8,0,,,,
B15,,7.01,7.92,64.5,1.2,0.55,5.6,0,,,,
B15,,7.92,11.48,58.5,3.6,5.51,8.71,0,,,,
B15,,11.48,13.64,3.2,5.51,8.3,0,2,,,,
B15,,13.64,15.45,3.6,4.52,9,0,2,,,,
B15,,15.45,17.05,58.8,2.54,4.4,8.45,0,,,,
B15,,17.05,18.3,61.54,1.18,2,8.35,0,,,,
B15,,18.3,19.6,52.4,3,9.88,11.59,0,,,,
B15,,19.6,21.95,57.5,2.44,5.47,9.26,0,,,,
B15,,21.95,25.29,64.9,1.02,2.57,3.2,0,,,,
B15,,25.29,27.41,66.7,1,1.12,2.2,0,,,,
B15,,27.41,29.35,66.9,1,0.02,2.7,0,,,,
B15,,29.35,31.6,64.5,1.6,0.61,5.3,0,,,,
B15,,31.6,34.92,63.8,1.6,1.25,5.5,0,,,,
B15,,34.92,37.5,64.3,2.4,1.01,4.3,0,,,,
B15,,37.5,38.1,63.4,1.7,1.98,5.1,0,,,,
B15,,38.1,39.93,64.2,2.44,1.35,4.1,0,,,,
B15,,39.93,42.7,64.1,1.78,2.38,3.7,0,,,,
B15,,42.7,45.75,65.6,1.72,0.6,3.49,0,,,,
B15,,45.75,48.55,65.6,1.76,0.65,3.48,0,,,,
B15,,48.55,50.35,65.4,1.98,0.98,3,0,,,,
B15,,50.35,53.45,67.2,1.1,0.52,2,0,,,,
B15,,53.45,56.5,64.3,3.12,1.03,3.6,0,,,,
B15,,56.5,59.25,65.1,1.8,1.01,3.8,0,,,,
B15,,59.25,62.1,65.2,1.6,0.86,4,0,,,,
B15,,62.1,63.35,63.7,1.44,0.62,6.55,0.09,,,,
B15,,63.35,67.6,63.5,2.34,1.63,4.82,0,,,,
B15,,67.6,68.55,62.7,1.2,1.49,7.15,0,,,,
B15,,68.55,69.75,57.6,12.12,0.62,4,0.08,,,,
B15,,69.75,72.8,46.3,27.44,2.94,3,0,,,,
B15,,72.8,77.1,37.1,43.4,1.72,1.4,0,,,,
B15,,77.1,80.8,43.6,33.8,1.85,1.6,0.09,,,,
B16,,0,2.1,59.6,3.2,6.81,4.16,0,,,,
B16,,2.1,3.05,58.52,4.44,4.78,6.64,0,,,,
B16,,3.05,4.55,60,3.4,4.54,5.7,0,,,,
B16,,4.55,5.45,58.5,5.36,3.98,6.5,0,,,,
B16,,5.45,6.1,63.8,1.7,1.57,5.2,0,,,,
B16,,6.1,6.72,64,2.1,1.58,4.5,0,,,,
B16,,6.72,8.25,63.1,2.4,2.83,4,0,,,,
B16,,8.25,8.85,65.6,1,0.77,3.98,0.06,,,,
B16,,8.85,10.7,60.7,3.1,3.6,6,0,,,,
B16,,10.7,12.2,62.7,2,2.67,5.27,0,,,,
B16,,12.2,12.85,63.6,0.7,1.8,6.1,0.07,,,,
B16,,12.85,15.25,54.4,7.3,4.46,9.95,0.07,,,,
B16,,15.25,17.35,64.3,0.6,2.25,4.7,0,,,,
B16,,17.35,18.6,64.5,0.52,1.7,5.1,0,,,,
B16,,18.6,19.5,64.6,1.46,1.66,4.2,0,,,,
B16,,19.5,22.2,63.83,1.43,2.48,4.66,0,,,,
B16,,22.2,25.9,63.8,0.9,1.67,5.6,0.07,,,,
B16,,25.9,29.3,65.5,1.4,0.85,3.6,0.07,,,,
B16,,29.3,30.2,63.1,2.04,3.63,3.6,0.07,,,,
B16,,30.2,31.1,66.1,0.8,1.24,2.5,0,,,,
B16,,31.1,32.95,65.5,1.14,1.7,3,0.07,,,,
B16,,32.95,35.3,63.93,1.36,2.98,3.94,0,,,,
B16,,35.3,36.65,64.1,1.6,2.04,2.2,0,,,,
B16,,36.65,39.05,64.55,1.36,2.03,3.86,0,,,,
B16,,39.05,43,64.57,1.14,1.56,4.47,0,,,,
B16,,43,45.45,63.8,2.6,2.07,3.07,0,,,,
B16,,45.45,46.95,64,0.86,2.72,4.6,0,,,,
B16,,46.95,49.6,63.2,1.1,1.76,6.3,0,,,,
B16,,49.6,53.5,63.9,1,1.57,5.6,0,,,,
B16,,53.5,56.65,63.2,1,0.7,7.5,0,,,,
B16,,56.65,60.6,61.1,3.16,1.41,7.66,0,,,,
B16,,60.6,62.45,65.7,1.64,0.65,3.36,0,,,,
B16,,62.45,63.65,64.6,2,1.08,4.1,0,,,,
B16,,63.65,66.45,62.3,5.8,1.25,3.4,0,,,,
B16,,66.45,70.35,64,1.4,1.88,4.8,0,,,,
B16,,70.35,73.1,63.6,1.6,2.65,4.36,0,,,,
B16,,73.1,75.6,64.7,2.86,0.72,3.49,0,,,,
B16,,75.6,79,65.5,2.5,1.83,1.5,0,,,,
B16,,79,79.95,26.1,60.2,0.89,1.1,0,,,,
B17,,0,0.9,51.8,5,9.4,11,0,,,,
B17,,0.9,4.85,57.61,1.79,5.84,9.47,0,,,,
B17,,4.85,7.6,60.8,2.6,3.82,6.1,0,,,,
B17,,7.6,10.35,65.9,0.8,1.32,3.2,0,,,,
B17,,10.35,12.5,62.3,1.2,3.25,6,0,,,,
B17,,12.5,15.25,61.9,1.3,4.28,5.4,0.07,,,,
B17,,15.25,16.75,62.6,1.8,3.58,4.6,0.07,,,,
B17,,16.75,18.3,64.28,0.16,2.76,3.58,0,,,,
B17,,18.3,18.9,64.3,1.5,3.25,2.8,0.07,,,,
B17,,18.9,19.5,65.7,0.82,1.55,3.28,0,,,,
B17,,19.5,20.1,63.4,0.96,3.75,4.17,0,,,,
B17,,20.1,21.95,65.1,0.8,1.5,4.15,0.06,,,,
B17,,21.95,25.1,65.3,0.7,2.42,3,0.05,,,,
B17,,25.1,26.25,64.3,0.86,3.48,3.32,0,,,,
B17,,26.25,29.3,66.2,0.56,2.1,2.28,0,,,,
B17,,29.3,31.4,66.6,1.4,1.16,1.8,0.06,,,,
B17,,31.4,32,67.7,0.74,0.65,1.5,0.06,,,,
B17,,32,34.55,67.8,0.6,0.5,1.7,0,,,,
B17,,34.55,36.6,66.4,1.12,0.98,2.5,0.05,,,,
B17,,36.6,38.1,58.5,12.96,0.7,2.25,0,,,,
B17,,38.1,40.85,54,19.6,1.08,1.8,0.08,,,,
B17,,40.85,41.8,40.7,36,3.8,1.4,0,,,,
B18,,0,0.9,57.2,5.6,6.6,5.4,0,,,,
B18,,0.9,3.05,64,1.4,2.16,4.4,0.06,,,,
B18,,3.05,6.1,64.3,1.08,0.66,5.91,0,,,,
B18,,6.1,7.6,59.6,3.58,4.69,6.01,0,,,,
B18,,7.6,9.15,64.1,1.62,0.72,5.8,0.05,,,,
B18,,9.15,11.6,63.8,1.3,1.17,6.1,0,,,,
B18,,11.6,12.2,61.4,3,3.2,5.5,0.05,,,,
B18,,12.2,15.25,63.3,1.2,0.75,6.4,0.06,,,,
B18,,15.25,17.8,65,0.8,1.65,4.3,0,,,,
B18,,17.8,19.2,58.6,3.2,4.82,7.7,0,,,,
B18,,19.2,20.7,50.6,5,9.4,12.5,0,,,,
B18,,20.7,25.9,56.6,2.9,2.78,12.9,0,,,,
B18,,25.9,31.4,49.8,3.6,14.68,10,0.08,,,,
B18,,31.4,33.25,62.7,0.8,1.62,7.4,0.06,,,,
B18,,33.25,35.4,60.7,1.4,2.74,8.5,0,,,,
B18,,35.4,36.6,64.3,0.74,1.1,5.75,0,,,,
B18,,36.6,37.2,59.2,1.66,4.89,8.26,0.06,,,,
B18,,37.2,38.1,59,1.36,3.77,10.1,0.09,,,,
B18,,38.1,40.5,61.6,1.54,1.77,8.3,0,,,,
B18,,40.5,42.32,59.5,1.8,2.52,10.2,0.09,,,,
B18,,42.32,42.65,59,1.1,3.44,10.6,0,,,,
B18,,42.65,44.75,56.6,2.8,4.86,10.9,0,,,,
B18,,44.75,45.7,60,1.1,2.65,10,0,,,,
B18,,45.7,48.75,62.7,0.9,2.46,6.5,0.1,,,,
B18,,48.75,51.5,63.8,1,2.05,5.25,0,,,,
B18,,51.5,52.1,63.3,1,1.45,6.55,0,,,,
B18,,52.1,53.35,61.3,1.4,3.26,7.2,0.13,,,,
B18,,53.35,56.4,61.2,1.72,1.07,9.2,0,,,,
B18,,56.4,60.05,62,1,1.54,8.35,0,,,,
B18,,60.05,62.5,62.9,1.6,1.1,6.9,0.08,,,,
B18,,62.5,67.7,64,1.78,0.8,5.7,0.05,,,,
B18,,67.7,68.6,64.6,1,1.72,3.82,0.05,,,,
B18,,68.6,70.15,64.1,1.6,2.24,4,0,,,,
B18,,70.15,71.05,64.7,2,0.65,4.4,0,,,,
B18,,71.05,75,61.7,2,1.47,7.9,0.07,,,,
B18,,75,75.3,62.6,3.8,0.74,5.5,0,,,,
B18,,75.3,77.45,62,3.6,0.63,5.8,0,,,,
B18,,77.45,78.65,64.7,2.8,0.68,3.8,0,,,,
B18,,78.65,79.9,58.1,8.8,2.82,4.8,0.08,,,,
B18,,79.9,82,57.6,10.22,3.14,3.77,0.07,,,,
B18,,82,83.85,46.9,27.82,1.81,3,0,,,,
B19,,0,2.1,59.9,2,3.78,8,0.06,,,,
B19,,2.1,4.6,62.9,1.2,1.6,6.8,0,,,,
B19,,4.6,5.8,59.4,3.6,5.02,8.8,0.07,,,,
B19,,5.8,9.15,65.3,0.8,1.3,4,0.06,,,,
B19,,9.15,11.89,63.7,1.6,3.57,3.3,0.07,,,,
B19,,11.89,12.2,64.65,1.6,2.05,3.4,0.08,,,,
B19,,12.2,14.02,63.6,1.4,2.24,4.9,0,,,,
B19,,14.02,16.74,65,1,1.1,4.5,0.08,,,,
B19,,16.74,19.79,65.4,0.8,0.68,4.7,0.05,,,,
B19,,19.79,21.59,65.3,1.2,0.08,4.4,0.07,,,,
B19,,21.59,22.24,66.7,1.6,0.46,2.2,0,,,,
B19,,22.24,24.1,64.8,2.1,0.08,4.2,0.07,,,,
B19,,24.1,26.55,65.25,1.3,0.89,4.1,0,,,,
B19,,26.55,29.25,66,1.4,0.02,3.6,0,,,,
B19,,29.25,30.47,65.4,1,0.58,3.5,0.08,,,,
B19,,30.47,33.49,64.6,0.9,2.95,3.3,0.06,,,,
B19,,33.49,33.8,65.1,1.5,2.46,2.5,0.07,,,,
B19,,33.8,36.55,66,1.44,1.87,1.9,0.07,,,,
B19,,36.55,38.1,63.5,0.8,0.65,7.4,0.09,,,,
B19,,38.1,39.6,63.9,1,1.2,6,0,,,,
B19,,39.6,41.45,64.3,1.2,0.6,5.9,0.11,,,,
B19,,41.45,43,64.3,1.6,2.46,3.59,0,,,,
B19,,43,45.45,64.6,1.04,2.08,4.2,0.08,,,,
B19,,45.45,46.05,64.8,1.6,1.76,3.7,0,,,,
B19,,46.05,47.3,64.6,1,2.12,4.4,0.11,,,,
B19,,47.3,49.72,62.9,1.4,2.48,6,0,,,,
B19,,49.72,51.87,60.9,3.38,1.18,7.86,0,,,,
B19,,51.87,53.67,62.2,1.34,1.7,7.51,0.12,,,,
B19,,53.67,54.57,62.7,1.5,2,6.4,0.09,,,,
B19,,54.57,57.02,60.5,2.2,3.4,7.4,0,,,,
B19,,57.02,59.15,64.8,1,1.15,4.75,0,,,,
B19,,59.15,61.87,64,1,1.58,5.6,0,,,,
B19,,61.87,64.92,64.2,0.94,0.75,7.71,0.06,,,,
B19,,64.92,68.02,63.4,2,1.04,5.9,0.08,,,,
B19,,68.02,71.02,64.5,1,1.06,5.3,0,,,,
B19,,71.02,72.82,64.4,1.02,1.18,5.29,0.06,,,,
B19,,72.82,75.87,63.5,1,2.1,5.69,0,,,,
B19,,75.87,78.57,61.8,7.65,1.07,2.51,0,,,,
B19,,78.57,81.59,63.3,1.6,1.28,6,0,,,,
B19,,81.59,84.34,64.5,1.24,1.58,4.45,0,,,,
B19,,84.34,86.74,64.9,1.8,0.68,4.3,0,,,,
B19,,86.74,88.89,65.2,1.14,0.84,4.43,0.06,,,,
B19,,88.89,91.64,64.9,1.6,1.13,4.64,0,,,,
B20,,0,6.1,41.5,37.6,1.15,1.5,0.05,,,,
B20,,6.1,9.15,62.9,6,1.63,2,0.07,,,,
B20,,9.15,11.25,63.6,6,0.88,2.3,0.07,,,,
B20,,11.25,13.4,63.3,2.6,3.78,2.8,0,,,,
B20,,13.4,16.1,62.3,4.1,2.41,4,0,,,,
B20,,16.1,18.55,64.4,3.4,1.11,3,0.04,,,,
B20,,18.55,20.7,66,2.5,0.62,2,0.06,,,,
B20,,20.7,22.85,65.6,2.5,0.69,2.5,0.07,,,,
B20,,22.85,25.3,61.5,4,3.95,3.6,0.07,,,,
B20,,25.3,28.34,60,2.8,4.4,6.5,0,,,,
B20,,28.34,31.4,64,1.8,0.68,5.7,0.07,,,,
B20,,31.4,32.92,64.2,1.4,0.71,5.8,0,,,,
B20,,32.92,35.35,64.8,1,1,4.8,0.04,,,,
B20,,35.35,37.47,66.4,0.8,0.82,3,0,,,,
B20,,37.47,39.32,65.6,2,0.5,3.3,0,,,,
B20,,39.32,41.47,65.5,1.6,0.35,4,0.05,,,,
B20,,41.47,42.37,65.65,1,0.57,4.1,0.05,,,,
B20,,42.37,44.82,65.45,1.6,0.59,3.8,0,,,,
B20,,44.82,47.27,66.5,1.8,0.54,2.2,0,,,,
B20,,47.27,49.42,66.7,1.8,0.45,2,0.05,,,,
B20,,49.42,50.92,66.6,2.4,0.36,1.8,0,,,,
B20,,50.92,54.27,66.4,2,0.55,2,0.04,,,,
B20,,54.27,55.52,63.5,1.8,1.6,6.3,0,,,,
B20,,55.52,58.65,64.6,2.8,2.32,2,0,,,,
B20,,58.65,61,65.8,1,2.04,2.5,0.06,,,,
B20,,61,64.05,65.9,1,1.86,2.4,0,,,,
B20,,64.05,64.95,41.5,35,2.1,3.1,0.07,,,,
B21,,0,0.9,61.6,2.4,4.17,5.2,0.08,,,,
B21,,0.9,4.57,62.4,0.8,2.9,6.6,0,,,,
B21,,4.57,7.62,64.3,1,2,4.6,0.08,,,,
B21,,7.62,10.67,64.2,1.4,0.87,5.5,0,,,,
B21,,10.67,13.41,65,0.6,0.8,5.2,0,,,,
B21,,13.41,14.63,64.2,0.8,1.9,4.9,0.07,,,,
B21,,14.63,17.38,65.2,0.6,0.96,4.7,0,,,,
B21,,17.38,19.21,66,1.2,0.4,3.7,0.05,,,,
B21,,19.21,20.73,66,1,0.35,4,0.04,,,,
B21,,20.73,22.85,66.5,1.2,2.42,3,0.08,,,,
B21,,22.85,25.88,66.6,1.2,0.42,3,0.09,,,,
B21,,25.88,28.32,65.8,1,1.22,3,0,,,,
B21,,28.32,29.54,62.7,2.4,3.14,4.8,0,,,,
B21,,29.54,32.28,63.9,0.8,1.07,6.3,0.08,,,,
B21,,32.28,34.71,64.8,1.8,0.74,4.8,0.06,,,,
